RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1757.449193151262,1770.8475504855976,1789.2080707283685,1803.7911848297642,1820.0216725764628,1830.278312318385,1844.381350661734,1853.9515387410863,1866.9035159819352,1872.217319150953,1879.929143157083,1886.604771091584,1897.211363289548,1910.1330789586211,1925.5540251520997,1938.18310088154,1950.9168150458434,1961.3799792070488,1974.4612636223228,1982.3935902639616,1988.0530895217366,1989.7891605452064,1990.942077963915,1996.1856522680612,2011.164176889265,2028.2345350494843,2048.795448386008,2061.7006647944118,2076.7590895993303,2086.1555111685443,2097.8914976600313,2103.4377474252424,2108.938443082093,2111.176761773655,2116.426704678622,2122.188477317652,2133.0671933158064,2147.1068961474516,2158.33525547513,2168.254244476314,2176.8684334934474,2190.116181421317,2202.296938008287,2213.046052266242,2218.1163978470154,2221.9443271298396,2226.671243339858,2231.616648423731,2237.908118226565,2242.3544608411066,2256.182586698192,2268.3611317506793,2282.186707171933,2291.6082561643875,2300.0452747336926,2306.5675096795567,2310.098063236393,2312.008874212997,2313.2115938155225,2316.611168918861,2321.4942059301125,2325.6950112032114,2325.1914804630605,2317.161030448761,2309.0584399835207,2304.771072272401,2306.3895920486543,2305.7921944463446,2300.5971676761887,2295.919512776491,2293.4117018301317,2291.5722029367257,2296.415607071539,2302.214609241508,2312.68283427305,2322.514238988583,2340.7881054414765,2372.0047803200864,2410.7369459761026,2454.078771584666,2487.269910496136,2509.0557556062813,2521.2996933275986,2538.926972493319,2558.8237582285215,2585.3011948232106,2608.0378899152834,2634.534101479315,2657.4363039434506,2678.871371629385,2700.1114248754725,2717.4723905595315,2728.112401037014,2725.6946135793355,2720.0197938511533,2714.9578229620947,2717.5542510827554,2724.8124691052444,2739.1486141994947,2749.3297316269836,2757.250278354766,2761.978931346265,2768.6456622870805,2775.9687598715564,2777.2379476704714,2775.6284747646487,2766.228020927944,2759.6153303325436,2762.228597686829,2771.7509215297246,2787.778781872231,2799.801024722544,2814.5799388425653,2826.1672364388423,2838.9234463331622,2844.0491128144636,2850.0557959018515,2847.625923574827,2845.509941358625,2838.60736342483,2864.866535849496,2888.0148191463063,2912.353067765344
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1491.8893081281071,1500.691383756397,1512.0835104040643,1521.4995443205794,1533.0930883961107,1544.008150803616,1549.8814707345755,1553.1934405083475,1547.7380447647806,1539.4609293054316,1529.9357979493911,1528.9339009993898,1538.2163077034947,1550.7849632147372,1563.8388313781377,1572.0440987328627,1579.899248555247,1589.3204555122052,1596.7144316642277,1601.8571230971029,1594.4611201476653,1582.6776706302296,1567.653712287572,1560.8008243024901,1567.401347922815,1583.976287337561,1604.4642110222067,1619.232302298687,1631.1691229302678,1637.7187568692507,1639.6606509218077,1634.3615009955545,1626.6118812170487,1612.99393387296,1603.1942694468075,1600.0000972494352,1609.9805534968739,1624.6255411030897,1638.7451880136537,1650.0094773711105,1660.7097515949386,1670.6232201941596,1676.3210321882073,1673.8270497596961,1661.373834732601,1647.417832391844,1637.3711491138524,1637.3922825977554,1647.24412029402,1659.7035369276487,1678.0278877469557,1692.0511290525483,1705.2974817303757,1712.7509724122995,1716.4000968349844,1717.2929744199555,1711.7817234660668,1704.3548510205712,1694.701184677259,1689.1257593190571,1698.0330284521663,1711.5122932975808,1726.873105347347,1727.7509895062406,1725.6777493614957,1722.1346205890625,1719.5067546896541,1710.4063846960132,1690.9996814074516,1662.8307569451435,1638.195588549051,1628.312545862324,1630.1132866974604,1644.466150287069,1664.085032392484,1693.8618469157816,1723.4303668920152,1750.0999824280943,1769.0078849923918,1780.7146093024373,1785.3156915468724,1783.083720874913,1780.4890196718932,1785.7073463472464,1800.9069052235684,1819.3960771298828,1841.9656896580968,1866.7856626392802,1894.7988209489959,1916.2675729400976,1933.2913032487988,1940.5825396553444,1939.3714824516135,1933.3967937570155,1928.1254165497537,1930.1452781352136,1939.0702363041735,1954.5517863327682,1973.535377660802,1994.0608486003475,2017.151667143093,2037.300493003513,2049.1998454394,2054.094708396845,2047.4038543132917,2035.098560598024,2023.668478898743,2024.5872563172234,2035.6101500646425,2053.8404812074073,2071.913038683839,2095.8739257804395,2116.036377702127,2134.409033984806,2142.293997907939,2142.177667050147,2136.6332522302964,2132.3891844758305,2133.9239684553877,2139.1362100400747,2148.3886255732054,2166.6689906270544,2188.187334404593
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1186.9245799882833,1189.9770704904279,1195.9934124318038,1206.2694993765467,1216.38322831971,1224.7314669329626,1225.3036809848636,1226.9544478802402,1225.3218421507936,1223.0279777537326,1219.3642817767575,1216.791034317596,1218.035251257668,1220.5970902257866,1226.9988895776582,1231.9414635129706,1234.6726273187428,1235.033986785951,1234.5095559856761,1232.0713272010669,1227.4821177819265,1224.5157708758493,1219.8404913618044,1217.0070459313072,1216.970056810052,1224.4955829941925,1233.2267287408736,1237.3402497175048,1244.2719230035466,1245.3354283390531,1246.4895249470883,1241.6485565052267,1248.5590296048404,1256.6936907136555,1268.982090605868,1276.3241651245894,1279.0510457459627,1283.7129205334666,1284.0105585030713,1291.9782720938717,1294.867978126607,1300.2783849463128,1299.6453227383925,1297.9612230111547,1293.8321055988974,1294.467987522498,1296.4584384333334,1296.7269329809342,1296.544952365042,1293.9321723930314,1300.100627754294,1305.394721374655,1315.7362109391709,1322.4322117532954,1326.7486411718703,1326.568410486618,1323.064779854588,1321.722147882437,1320.3308022941903,1323.5897650389109,1326.3384043695444,1333.0266581536678,1339.2582882198262,1336.2237638685442,1330.068949771002,1323.678945151247,1327.7608197311044,1331.573897558728,1331.8470023462703,1332.671896934369,1333.1027608464046,1332.8305547455652,1334.6375885389523,1336.455913004714,1344.1075931725395,1356.6060048284214,1376.591220307598,1403.6539576023313,1427.4526170593872,1449.7069086148203,1462.6060966096313,1470.408870156508,1474.8891501049898,1477.682040729228,1483.733799678412,1492.995190355126,1503.2187964744473,1514.2954776222011,1525.3234645401478,1540.4956110479955,1553.25579734954,1560.2090492067734,1558.1440602048142,1552.322128032387,1545.521742018795,1543.5915852137746,1547.7982210795158,1555.4962487247117,1566.7642063414462,1571.9456733710174,1581.0471075070377,1588.2470191418734,1594.8768886813796,1596.2343127828956,1592.4115352952876,1587.373985770506,1582.1548946279945,1580.3615753807198,1583.4903893832236,1588.5414636229277,1593.3830295484904,1600.9892305910023,1611.107610484188,1620.7164556689017,1625.7126460775462,1628.633741092183,1630.1025271477954,1629.5578448711656,1625.3272294278072,1620.8735465636178,1620.704752687643,1624.2197915018266,1634.452141528843
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,949.3302540763214,964.9852680115047,972.1353123362163,985.8202970845418,985.9217731444658,993.9207032500605,993.7303028519057,995.1138081453797,998.2525139743749,1001.3199414591029,1004.9293596026423,1006.5843428461673,1012.0286321655615,1017.5226478909983,1024.7785605924178,1031.861492515849,1039.715400473478,1046.7409133198435,1050.7515559825827,1052.6196817204188,1053.8913762759994,1053.5847819990022,1055.2143083984545,1056.0986132764701,1062.9497370272957,1071.3311620476798,1083.479220010772,1093.066482276468,1102.8800124339286,1108.9318787791742,1114.1040351426223,1116.3338494173659,1119.0351971712723,1121.072380761571,1124.479730265965,1126.6543058095995,1131.4681203087648,1137.3252719908114,1150.2084785774932,1164.0837822608714,1175.6890648952567,1184.0005607075816,1190.7774387843456,1197.085899493015,1203.0624419620851,1206.9303175219507,1212.3731809418177,1217.669080161073,1222.438089969672,1231.2861908549398,1241.8428631406316,1257.4273715241686,1269.1084832314857,1279.4375006422786,1287.3164176215457,1294.9194829395192,1299.80914423246,1303.3273691942438,1308.5468375691812,1317.4615784353455,1327.6028206925093,1338.3276440436578,1343.9091266431885,1343.3076597471436,1341.889846847582,1345.360849611764,1359.0472429412819,1375.4485856039735,1391.6904213226087,1406.2114756326578,1419.6510917083815,1431.0156104328576,1443.645426136419,1457.1630277781092,1479.0501529637793,1507.8102305700934,1548.0349807096413,1594.7869956867514,1644.5998822766462,1688.8013026267563,1721.3142638715954,1743.6666075895914,1756.3312719903263,1766.4509679019825,1775.4507177846046,1786.9933370880933,1800.8052591244962,1812.8315732272322,1821.8829489185232,1829.4666836916488,1835.6494915715589,1836.6568596217855,1828.3185568311662,1816.8227837507372,1806.0732220410916,1800.5938395079952,1796.4676186305799,1801.1197402847904,1815.510134441357,1824.6206157591553,1829.703707461583,1827.7680876600396,1832.1804891951112,1832.2427735009157,1828.7596230789507,1821.1930836440229,1812.1102499918734,1804.4323594954706,1804.7105283937703,1812.6773148098246,1823.332001037864,1832.9190421390356,1839.9397094870326,1842.9158950412996,1846.0328843822315,1846.5987307364146,1845.9492102775307,1835.966001969178,1826.2475977733766,1818.013383592685,1820.037256313275,1828.5242255893909,1837.3901158679075
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1693.2953639536488,1704.9203005189909,1714.3850149099962,1718.188810031899,1729.63958991935,1737.8883975176016,1754.2589240590737,1764.8827095506376,1773.2498922493444,1777.5209240018332,1775.906687717611,1782.8852366755093,1788.495628365106,1797.638377786874,1807.722308810336,1817.8852335340985,1831.9499981920444,1846.5812106567903,1859.4446897757216,1866.4378090375933,1869.5076657854195,1871.0772737087786,1872.3879824069725,1875.051471909047,1882.135346599082,1898.2833335957337,1917.2519971898687,1935.4697028552007,1951.9996959094876,1963.7726484292828,1976.1256619236765,1981.4186574452272,1985.2506009640665,1985.1068084868318,1985.1448136107535,1986.7690130111307,1997.7620380606384,2010.1683563914776,2025.0853230824628,2036.0286248707257,2052.480334761146,2063.6487217840327,2074.671776779856,2082.1616847814566,2087.692103913978,2087.7507124474046,2082.6225081614757,2085.014696444561,2090.3378394836645,2098.007491948473,2104.523184317963,2114.4828191259257,2127.450395959699,2139.3170246201166,2151.4630004766573,2159.513591262755,2162.0692150342993,2161.837106549875,2162.6779110123443,2167.120985435393,2172.804875688624,2178.2307213179292,2181.8457065162793,2172.889792797573,2165.4052576512195,2164.2253846862845,2175.536480610566,2185.0961853369745,2197.1497059979556,2213.6008390276825,2228.5572329938495,2238.9713274487253,2245.944747766086,2257.2125547432083,2275.551348153483,2303.800650366822,2341.3157802992982,2380.030368051716,2431.1699093656375,2484.8114374606216,2541.6657338645055,2576.593978561714,2599.8331925151297,2614.7530700387774,2633.9508373005206,2661.358746882353,2692.35478492181,2736.748891679145,2781.330589285155,2829.919051311241,2863.8467559259393,2892.7183597732364,2897.9580023997987,2891.4428808331854,2870.1667784838087,2859.980360868308,2853.458737652284,2863.102384727864,2888.341869849101,2919.9056593904766,2953.85630570489,2976.6757165008808,2995.3349430319945,3003.2491172698374,3000.0050001452723,2984.6231367760693,2959.9463792682845,2940.7879498560555,2933.667526074391,2944.137429143552,2962.395258566395,2987.100204421209,3008.059658489195,3028.9300344352982,3042.6240958165545,3045.9388747533717,3043.5861166895834,3038.7315402681534,3035.420628953341,3027.3748198847843,3028.0766192789665,3034.9587803003883,3052.0559472579043
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1906.293622526383,1917.3073439824325,1928.5992637115746,1942.3052763190806,1952.347610673619,1965.5559669355107,1976.5480970545811,1990.0920333029053,1992.9796289127517,1997.5174612246522,1994.4050523678825,1999.1737036940956,2004.4829125798422,2014.5989265628125,2020.0905345544556,2026.1622582722187,2039.9262431186112,2057.665544240271,2070.5521851256303,2072.7527819024426,2075.9827463870247,2072.781628453,2077.8594344511507,2072.94492680417,2083.835901042739,2097.105315410679,2120.0031692227403,2136.8912763224553,2145.56587249258,2154.2606073901143,2159.7653919277845,2165.3658956468166,2167.9012689839287,2165.3912336227927,2168.20072149545,2170.2576828442225,2180.9349065989263,2186.281264009734,2197.7816795851927,2205.437624118549,2212.675979835711,2219.447193602633,2225.231382392892,2227.531737146352,2228.6036079123246,2230.5075259605596,2236.098074906852,2238.6930339684145,2241.1214941618728,2246.2232569763382,2255.78373255206,2263.046780943966,2274.0444445777503,2282.475916379028,2293.1251383429862,2296.619537625693,2298.6193279337185,2299.84648016735,2305.4481104805523,2306.5558607970147,2314.703821888765,2320.227164208154,2325.9318128372793,2310.068324621792,2294.173065102184,2284.3344612029864,,2299.388421310172,2314.0348837991583,2328.0969144725054,2337.5305820640046,2344.858718701271,2358.387015274615,2378.6262844228713,2401.255792671847,2421.4888985379425,2449.4981374794793,2495.847617817555,2568.3619101686745,,2731.1987181132795,2774.5931438994908,2798.5859304483,2811.133106007547,2828.3086541138705,2845.872111427976,2875.058346545049,2908.9296031617614,2940.447855677668,2968.600943288298,2989.3046452738495,2999.478095424318,2995.663612582587,2983.840055870648,2969.678473099797,2954.512727331367,2943.1794953816016,2942.7518214178763,2954.2004526426845,2969.9748135985215,2986.9759606982398,3007.3557048446837,3039.487748695548,3068.265561543281,3080.252134297305,3078.560255592503,3065.042984119774,3063.0493723978907,3060.555951447927,3068.2647590456536,3070.0411445075692,3080.337014301194,3095.178083019236,3116.788213740916,3135.803827061361,3148.6978799030276,3154.813925066854,3157.7712959642913,3153.2571024183335,3144.3909365540007,3149.7857692469656,3162.6727253828585,3186.6388984270507
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2255.711577351648,2271.9772163098246,2296.2027097128653,2315.74502029185,2339.3052680401424,2366.933697045582,2383.380059537116,2393.782408927428,2407.559371755835,2418.038969147917,2410.0561247776805,2387.1665215660073,2374.875208237346,2377.996693514358,2391.723200560663,2398.3660007105095,2405.9482797105497,2417.5079763557846,2434.669026351911,2450.0973493659567,2457.1415544009815,2454.701676123651,2456.2673139613644,2443.089626537219,2433.9785123973033,2423.24130264485,2428.0154317111464,2441.7657427306026,2453.9074043624887,2469.854761829339,2486.1271382646673,2499.375111755534,2498.8851042204747,2481.1341595282424,2462.4452485634783,2450.049800730936,2449.9371311762607,2451.692025962809,2464.1810317591003,2481.4985343202643,2499.684285071188,2515.0042197806897,2525.2774839473905,2535.714193478603,2537.5945516752117,2529.1067103669275,2514.78964516974,2497.688391986707,2500.5771121611547,2513.5232206022606,2539.1089470863953,2555.8892321290227,2579.1972087924282,2594.9366443949475,2619.277649068562,2634.325421545304,2649.744506842298,2652.68109529511,2649.919892438797,2642.393459276433,2640.61999348019,2649.7102558544047,2664.41381127137,2659.303499076268,2640.2664731108907,2609.3010263039178,2587.082058801235,2551.744394800654,2505.619950032898,2460.8585667990255,2428.4395158174743,2410.409763023589,2402.6691331304505,2409.596449702343,2430.087842932836,2462.2625059369516,2500.363096035782,2551.262683727963,2605.675322214644,2659.4679567078397,2705.813917616273,2730.8681925494934,2752.2649500210046,2762.118244224906,2792.7391867461256,2826.187193704119,2875.800031350089,2919.969147653951,2980.592094923656,3042.3671583629266,3101.7056877429745,3140.7557415061524,3150.5289733473037,3142.352235068617,3103.6540912834457,3072.309636294386,3062.4931934755555,3076.854153392904,3099.164339632609,3126.3763396060554,3162.307080616508,3204.548616405579,3233.706792190906,3251.0964672287537,3255.4617998638373,3238.3437806978386,3197.790072306158,3171.3527107025884,3169.933591027716,3197.146426302503,3224.0859788035,3249.16260004211,3286.422165097318,3321.992094581879,3348.588895950528,3350.4559487753922,3337.6712127137803,3315.140112600794,3289.479248827764,3259.496297357902,3257.1920444773573,3280.283267507614,3327.385490890739
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1644.8361307637663,1655.929748209807,1668.053993677487,1678.2910310424218,1688.9916173944557,1696.7702024558107,1704.6185957331033,1710.97388922715,1719.072643544502,1720.6608495861396,1727.2106318625374,1731.8473418551546,1739.1595449636286,1742.511390342392,1745.7965943569197,1745.6627425278182,1745.2456368622402,1742.5728938769219,1742.8507765853326,1739.6496630872787,1739.6187764686822,1737.4090287177903,1735.3526860630857,1730.256997785733,1735.0414323088735,1741.3491732791379,1751.8327139706441,1753.2353783534606,1755.9630885224892,1757.0600913158066,1758.3138626026057,1760.997328569014,1763.7653748411308,1768.0384405091925,1767.6967601188717,1768.4445537854099,1770.634657493878,1775.5416495855916,1780.5871645096984,1786.0940134624627,1789.8878400839485,1795.253400878109,1799.267649600389,1805.0709564333079,1808.1078524265997,1812.2980266640432,1814.1487088080712,1817.2249861522077,1818.0590551384473,1816.2172588201413,1819.084201999102,1823.7364450463115,1831.8875326499171,1835.3997581111043,1835.8979803712023,1837.8942514113505,1839.6640675152573,1848.586428854981,1858.2302591865355,1867.8785282779183,1870.8173568868222,1873.8218097021725,1871.1644972501808,1861.5389489538873,1848.281059933685,1843.8757902084935,1846.8700594111133,1847.5197523328404,1843.8206112770022,1847.9873329908976,1862.9322801420844,1881.427800452156,1905.9015325524012,1941.236198283112,1979.5537082399462,2021.623314626822,2064.1298096007417,2119.774666820353,2186.802122457888,2250.9366239186043,2310.3073998252125,2354.94061637581,2399.234520850969,2452.3873454867057,2499.150058600444,2562.8249332213027,2617.8019270201207,2684.1714881753483,2730.3013434013133,2765.087845654043,2789.4833120382214,2800.4629275255193,2808.636130169048,2804.0013620815157,2800.2960971002594,2801.7308086214002,2806.0007284675894,2814.712184969188,2825.299113959024,2837.83795903283,2843.9256405196656,2843.88861276869,2840.845906937193,2836.9122344279344,2832.4192607445075,2832.285172197038,2836.3660905501956,2833.4682260995014,2835.4543687226565,2845.504981834681,2867.827432672813,2887.2863919468123,2898.660511160338,2900.9615837863735,2903.9909533378436,2903.9361295453728,2909.0485559997746,2907.7291785567363,2905.957835681939,2903.695095945768,2909.9764544840614,2917.26844588468,2923.634648706331
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1087.7176567279919,1090.0395396796514,1097.280719037238,1112.4247933208612,1125.877383414067,1136.273193004354,1145.0220634559598,1148.4765360146364,1150.9066378256152,1151.4902932381476,1155.7895072564604,1158.8776613612808,1161.96219431302,1166.8605326983884,1174.2721705653419,1185.3240812973236,1194.1838984106996,1205.0100741695733,1209.2867690031692,1213.2336930879271,1212.9761227496112,1218.1866136549936,1221.305939994919,1225.735734089105,1232.1221481750663,1236.4548740881391,1248.0162355218001,1256.7486323722792,1270.7006618052446,1276.3928687887467,1280.8674591011816,1280.5185753973828,1279.8513099987217,1277.7070788274207,1285.635007318799,1289.6652678043267,1294.0401677421248,1299.582578978877,1302.2267374370294,1307.0008381845869,1306.6379224357604,1319.3197760794424,1325.0510629151622,1329.9783537491785,1322.2673776453296,1324.243743975497,1325.9831587080012,1330.0573786882485,1335.5862196630467,1337.9451852477068,1348.8732163612096,1356.9715594277814,1366.38304031432,1378.1327604112566,1380.5921255364992,1383.9586649065557,1381.6508723828908,1380.7361826388644,1376.3696189549707,1369.7540625816166,1373.6461085380465,1380.0320053351115,1387.7869946946525,1384.955875051767,1381.7488804018374,1380.4420029104592,1382.4416162738073,1385.0438254035632,1387.2776884353557,1390.0387235809733,1389.4111948479326,1391.827674673917,1395.7753187354563,1408.032753667944,1417.9231837719265,1436.6618575468808,1459.1271026192392,1492.8203130231682,1528.378332470572,1560.4174043446546,1583.8387377912252,1595.8453869486248,1605.8038485962122,1613.3871513560684,1626.762107875556,1642.7756273496364,1656.527001850084,1676.7452211366915,1699.7435411037377,1735.2417486448976,1758.3999583899438,1766.4420999738572,1760.0031145151224,1742.6993510712243,1729.8270741469257,1717.7359522168733,1715.2599755110923,1717.2076481035956,1728.4050832603878,1736.2568875100267,1744.9130092441235,1749.2097728560943,1756.2518013637473,1757.0266834409158,1752.0262664805962,1743.5677823620604,1735.186052918963,1727.2593948496453,1724.065721965522,1722.4876501152835,1723.2370745579276,1726.496512594204,1734.6161775550438,1745.7912797485046,1755.5323393577617,1761.0717668558416,1756.934410404671,1749.7185474522755,1744.4883232396755,1740.243385965799,1738.3704815829144,1739.3863401788287,1748.4097945721333
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1368.3628553913093,1369.611856911377,1372.2166526399844,1379.3379185812778,1387.5754529333324,1398.520682731349,1407.2371611117105,1413.078211722863,1419.7203125815488,1427.2472739905747,1431.9822033518005,1436.117665738225,1436.6446075624526,1445.9725016512166,1448.7174672444567,1449.3158161079343,1453.4980057318608,1459.3744521498975,1471.0972445156674,1476.212476607173,1489.5975733155253,1492.4504791024322,1499.7328863152873,1497.2018602345247,1512.0337972650323,1521.9353481171984,1535.3390404671857,1546.1388871655697,1554.81782615375,1566.8930628647938,1574.9105037135703,1586.9941870908758,1592.7897064865504,1597.4851957628864,1601.2503585644545,1603.6932836035637,1611.6579235464164,1622.921922324898,1634.7933522185572,1638.0042444570122,1640.2251374570951,1647.2534440050563,1658.521889069713,1669.203822880054,1679.9081347915178,1691.151515828777,1697.9275225710164,1703.9160793716042,1704.1932594026287,1706.6511560385457,1713.51703640592,1724.6559579852494,1736.4723402160837,1744.4163450289532,1754.1938918013045,1764.0670161366586,1770.5055216867731,1777.2422283746623,1779.996376097038,1784.8293430927608,1786.9906194791067,1794.9970403069897,1798.8874667641076,1795.4121482241912,1789.8950680893715,1799.9015208436601,1821.8667981593724,1853.3191352694043,1881.9735520395502,1909.646718729177,1933.5544146238585,1955.371352290443,1977.7865975540492,2001.1321624708182,2026.0877522564194,2043.5848617386596,2079.1198385185694,2115.5178091499088,2170.1855252450764,2215.643701865917,2257.7501694730977,2279.5864180395834,2296.338428382109,2299.650237732211,2321.353590025544,2338.1637102389545,2372.6414696985266,2399.2142557075167,2417.8570195892494,2434.7102352883335,2447.320617868396,2460.2927888089944,2467.553196346815,2463.3287795165734,2453.9412086284756,2444.302913668451,2444.969313670627,2453.406533226514,2464.4600862903835,2471.3911505475257,2478.236249303978,2478.6017105204346,2482.9214581197048,2492.8103652393297,2500.7908944857,2519.6878729358464,2516.7303708935196,2517.9107503065225,2505.7725306751404,2519.566070289347,2529.4861106797603,2544.6061404049306,2556.0714288569475,2562.2296949540623,2577.611391060142,2581.8994826395924,2601.793560641394,2601.3880811463464,2597.559683626918,2603.9359614971504,2619.722368511334,2631.9965760672676,2625.395623996113
