year,median_income,monthly_income,Average Monthly Wage,Estimated Annual Wages,rent_index,ACS_Rent,afford_pct_rent_census,afford_pct_rent_acs_census,afford_pct_rent_dws,afford_pct_rent_acs_dws
2015,63552.0,5296.0,3170.714285714286,38048.57142857143,1318.8125,811.0,24.902048716012086,15.31344410876133,41.59354584365848,25.577832845235417
2016,64149.0,5345.75,3189.8727272727274,38278.47272727273,1338.5833333333333,847.0,25.040140921916166,15.844362343918068,41.96353421529119,26.552783525133517
2017,66542.0,5545.166666666667,3149.0363636363636,37788.43636363636,1395.7149385235095,871.0,25.169936675005435,15.707372787111899,44.32196955997681,27.659255067928427
2018,71020.0,5918.333333333333,3158.8979591836733,37906.77551020408,1419.1886711822963,900.0,23.97953260234801,15.20698394818361,44.926701954913575,28.490948793818564
2019,74562.0,6213.5,3367.0204081632655,40404.244897959186,1442.6624038410835,966.0,23.21819270686543,15.546793272712641,42.84685653652056,28.690054793192065
2020,76737.0,6394.75,3479.276595744681,41751.31914893617,1466.1361364998702,951.0,22.92718458891857,14.871574338324406,42.139108408139315,27.33326810415469
2021,87557.0,7296.416666666667,3613.125,43357.5,1489.6098691586567,1004.0,20.415636019854357,13.760179083339995,41.22774244341551,27.78758000345961
2022,95545.0,7962.083333333333,3952.7045454545455,47432.454545454544,1513.0836018174439,1079.0,19.003614236024205,13.551729551520229,38.27970404611775,27.297765051546985
2023,95053.6071428582,7921.133928571518,4018.0833333333335,48217.0,1548.8543452821905,1087.5714285714348,19.553442212300883,13.729996719895954,38.54709364619592,27.066920677058338
2025,103984.9880952388,8665.415674603233,4148.067335264641,49776.808023176156,1604.8011957211565,1158.2142857142899,18.519610091233577,13.36594029884575,38.687925388240416,27.921781208028474
